decile,annual_mean_ret,annual_sd_ret,t_ret,max.drawdown,max.drawdown_from,max.drawdown_to,win_ratio,sharpe
1,0.0754703256977129,0.326633340484641,1.02096589068725,0.198039295854327,2003-01-20,2015-08-24,0.551429790866411,0.231055181279823
2,0.0426297890033521,0.322024515702491,0.58295068366794,0.199949217173392,2008-09-19,2015-08-25,0.541684572410829,0.13238057018844
3,0.039948559769374,0.315235761519312,0.55684976531931,0.19823226698413,2008-04-24,2008-06-19,0.543375053949072,0.126725976700225
4,0.0692220212794348,0.31220006843331,0.967740178949397,0.20049373347897,2008-09-19,2015-06-26,0.544838145231846,0.221723273882695
5,0.09608524407159,0.306474676870361,1.3683890549943,0.201438465076404,2008-09-19,2015-06-26,0.547462817147857,0.313517726987389
6,0.0927788702804546,0.307395410293096,1.31734398036828,0.199659309287224,2008-09-19,2015-08-24,0.541557305336833,0.301822561995938
7,0.108089955230211,0.306642198392365,1.5385120678932,0.199567704672586,2008-09-19,2015-08-24,0.543963254593176,0.352495370163971
8,0.133724917004966,0.309254563204591,1.88731203992541,0.198344326293373,2015-07-10,2015-08-24,0.548775153105862,0.4324104893369
9,0.129197791052482,0.31816772282419,1.77233763127368,0.199975138410447,2008-09-19,2015-07-07,0.549431321084864,0.406068189147748
10,0.140915579994065,0.324739496350181,1.89396256057838,0.196847921954537,2015-07-09,2015-08-24,0.558180227471566,0.433934219821876
10086,0.0676803648364793,0.0614866069860997,4.80429484949962,0.0472927842991573,2005-07-01,2006-05-23,0.532152230971129,1.10073344674524
