decile,annual_mean_ret,annual_sd_ret,t_ret,max.drawdown,max.drawdown_from,max.drawdown_to,win_ratio,sharpe
1,0.0763398330679973,0.326832348977861,1.03209979536489,0.19814104596346,2003-01-20,2015-08-24,0.550149381135297,0.233574899506561
2,0.0260957672679392,0.320558031440852,0.358484990431528,0.199626344985635,2008-09-19,2015-08-25,0.537172324881822,0.0814073107157643
3,0.0595671504359396,0.316209416468445,0.82775996938667,0.19960472397822,2008-09-19,2015-06-26,0.548985757444972,0.188378800040839
4,0.0622792691989163,0.311456924458429,0.872756329324729,0.19773138305674,2008-09-19,2015-06-26,0.544838145231846,0.199961099940897
5,0.0928374016483975,0.307698535669712,1.31687646890571,0.199920075895481,2008-09-19,2015-08-24,0.543744531933508,0.301715448357058
6,0.0918110602850307,0.306567095953345,1.30712449425051,0.199631988324568,2008-09-19,2015-08-24,0.542432195975503,0.29948112989596
7,0.110854594291754,0.305125508401353,1.58570600486988,0.202865792513904,2008-09-19,2015-06-26,0.545713035870516,0.363308183811166
8,0.125614356375289,0.311505307383125,1.76003505138082,0.199067830773357,2008-09-19,2015-06-26,0.547681539807524,0.403249490130818
9,0.144182551610229,0.318433654159938,1.97624705802851,0.199696132948897,2015-07-10,2015-08-24,0.552055993000875,0.452786788477486
10,0.138728519127291,0.325043250075803,1.86282513226376,0.196816366957235,2015-07-09,2015-08-24,0.560367454068242,0.426800184575246
10086,0.0646021159694529,0.0610364651204287,4.6196051753249,0.0478708041422654,2005-07-01,2006-05-23,0.536089238845144,1.05841837075573
