decile,annual_mean_ret,annual_sd_ret,t_ret,max.drawdown,max.drawdown_from,max.drawdown_to,win_ratio,sharpe
1,0.166051279546179,0.283960391094339,2.70304233866273,0.199911159907446,2008-09-19,2015-08-24,0.550117004680187,0.584769160608082
2,0.155585769083292,0.296345976562406,2.42682926318803,0.199414090941361,2001-10-23,2015-08-24,0.55421216848674,0.525013941097082
3,0.136888435298932,0.299583111887214,2.11211625567875,0.197068219778729,2015-07-09,2015-08-24,0.549921996879875,0.456929746261758
4,0.129036241149153,0.304911626363419,1.95616780279288,0.200617019901504,2001-10-23,2015-06-26,0.550312012480499,0.423192262912786
5,0.103752167252264,0.306780919097847,1.5632816154386,0.200195031660069,2008-09-19,2015-06-26,0.546411856474259,0.338196285340591
6,0.0877297639123249,0.310238094739483,1.30713433751974,0.199319999744823,2008-09-19,2015-08-24,0.544461778471139,0.282782048368349
7,0.0621184366825718,0.314414894487619,0.913241825584909,0.202101806604379,2008-09-19,2015-06-26,0.536466458658346,0.197568365149501
8,0.0189995811125167,0.318702676802779,0.275566678989034,0.199647858219396,2001-10-23,2015-08-24,0.535101404056162,0.059615379773776
9,-0.0266932040643352,0.329476465333538,-0.374493854968412,0.199216786323157,2015-07-09,2015-08-24,0.531786271450858,-0.0810170281428535
10,-0.0493495253898184,0.338686870883343,-0.673523891863511,0.198474474474553,2008-09-19,2015-08-24,0.530811232449298,-0.145708409839176
10086,0.215400804935998,0.135213686604427,7.36368250903861,0.0811702104484991,2013-08-30,2020-02-04,0.528471138845554,1.59303995287223
