decile,annual_mean_ret,annual_sd_ret,t_ret,max.drawdown,max.drawdown_from,max.drawdown_to,win_ratio,sharpe
1,0.145216421349059,0.298463207142528,2.24901999202769,0.198351021278565,2001-10-23,2008-06-10,0.552847113884555,0.486547145088181
2,0.14087338058968,0.308344136920495,2.11184300359312,0.200108336958998,2008-09-19,2015-08-24,0.551287051482059,0.456870631615102
3,0.123133149140202,0.31266835456283,1.82036906250866,0.199192610463427,2001-10-23,2015-06-26,0.547776911076443,0.393813916065684
4,0.118214972854029,0.313777901979597,1.74148011312861,0.19851570329649,2001-10-23,2015-08-24,0.548556942277691,0.376747285606225
5,0.0995428572378843,0.314273001330911,1.46410227914773,0.199379714357807,2001-10-23,2008-06-10,0.546801872074883,0.316740085264504
6,0.0725084698033505,0.315874148212674,1.06106757596851,0.199705407140449,2008-09-19,2015-08-24,0.53685647425897,0.229548604131198
7,0.0602126589154527,0.316311375781698,0.879916338422082,0.200939703489259,2008-09-19,2015-06-26,0.538416536661467,0.190358815792349
8,0.0351627326276042,0.316955636795263,0.512805324696784,0.201905871747623,2008-09-19,2015-06-26,0.53685647425897,0.110938972353148
9,0.0209612166186649,0.315240773735255,0.307356561345725,0.199173561413653,2015-07-09,2015-08-24,0.531786271450858,0.0664927203746445
10,-0.027344977408958,0.300881789580873,-0.420097457192186,0.19827543165905,2008-09-19,2015-07-07,0.522620904836194,-0.0908827930299454
10086,0.172561398758017,0.151576783772309,5.26234542398522,0.14254254197159,2015-07-06,2015-07-14,0.516185647425897,1.1384421443935
