decile,annual_mean_ret,annual_sd_ret,t_ret,max.drawdown,max.drawdown_from,max.drawdown_to,win_ratio,sharpe
1,0.228813797104677,0.329914036187755,3.20589875302711,0.201362249675466,2008-09-19,2015-06-26,0.575468018720749,0.693555811534064
2,0.161518259475669,0.328059578148366,2.27581675937912,0.200085971015245,2008-09-19,2015-07-07,0.560257410296412,0.492344288154335
3,0.11047393408912,0.325822895851507,1.56728005936956,0.20370834025144,2001-10-23,2008-06-10,0.554602184087364,0.339061298317931
4,0.0906087187049248,0.32051100614997,1.30675878668288,0.199478224043522,2008-09-19,2015-07-07,0.545826833073323,0.282700802675488
5,0.0706782382753707,0.316542984674204,1.0320991257069,0.199823762437557,2001-10-23,2015-07-07,0.543876755070203,0.22328164482342
6,0.0473215708311541,0.314192802055542,0.696195654999565,0.201060458960707,2008-09-19,2015-06-26,0.534516380655226,0.150613160204697
7,0.0208167277050439,0.310667989685135,0.309730762501192,0.198547060673449,2001-10-23,2015-08-24,0.537636505460219,0.0670063488875757
8,0.0386078969175993,0.302342117093915,0.590263437366783,0.202788535592952,2008-09-19,2015-06-26,0.531396255850234,0.12769605931418
9,0.0160187870145788,0.293371888038909,0.252394286009305,0.199093066197577,2008-09-19,2015-06-26,0.526326053042122,0.05460232444785
10,0.00993352259610928,0.272872204699332,0.168272199547897,0.197723611967244,2008-09-19,2015-08-24,0.515210608424337,0.0364035707009978
10086,0.218880274508568,0.167380165574064,6.04464804817352,0.139820202445545,2000-03-01,2007-05-31,0.569812792511701,1.30768346272017
