decile,annual_mean_ret,annual_sd_ret,t_ret,max.drawdown,max.drawdown_from,max.drawdown_to,win_ratio,sharpe
1,0.121581284060406,0.304022903329386,1.84853982354485,0.199285783565244,2008-09-19,2015-08-24,0.548556942277691,0.399908305357776
2,0.12306325849338,0.309753720327719,1.83645489617385,0.198074275038665,2008-09-19,2015-08-24,0.552457098283931,0.397293883551034
3,0.105952859933551,0.312137135223253,1.56904583783159,0.199353800327365,2008-09-19,2015-08-24,0.547581903276131,0.339443302245244
4,0.102630281809431,0.313216663813159,1.51460382548925,0.199829671692061,2008-09-19,2015-08-24,0.550702028081123,0.327665458663631
5,0.086933922179333,0.312518056763007,1.28582701577982,0.20287705829855,2008-09-19,2015-06-26,0.547386895475819,0.27817247771145
6,0.0808102293234088,0.312459839837902,1.19547506137077,0.198649371637693,2001-10-23,2008-06-10,0.546996879875195,0.258625970509783
7,0.0707686132622349,0.312247510344746,1.047635215855,0.199500208543879,2008-09-19,2015-07-07,0.536076443057722,0.226642682223794
8,0.0515357159946332,0.311328728678364,0.765169240699124,0.199334298384797,2008-09-19,2015-08-24,0.533346333853354,0.165534726632553
9,0.0535505879073899,0.308232486865933,0.803071512293034,0.202613566750105,2001-10-23,2015-06-26,0.540366614664587,0.173734405649077
10,-0.00833492867458888,0.294945755573735,-0.130625547672551,0.198583104790568,2015-07-09,2015-08-24,0.525546021840874,-0.0282591917906247
10086,0.129916212734995,0.0835875209084007,7.18439652717652,0.0906789514519789,2015-09-01,2015-09-07,0.555967238689548,1.55425368910466
