decile,annual_mean_ret,annual_sd_ret,t_ret,max.drawdown,max.drawdown_from,max.drawdown_to,win_ratio,sharpe
1,0.0983773483801897,0.249221254709596,1.82464517003147,0.198284052652752,2008-09-19,2015-08-24,0.539196567862715,0.394738998063482
2,0.140647733951954,0.281200473680703,2.31198535569359,0.199382769740551,2008-09-19,2015-06-26,0.551092043681747,0.500168908362709
3,0.141360341830707,0.292871570063379,2.23109857411561,0.198961343733681,2001-10-23,2015-08-24,0.553432137285491,0.482670072073284
4,0.148028043815205,0.301929510666536,2.26624481902374,0.199442991228403,2001-10-23,2015-08-24,0.553627145085804,0.490273519433128
5,0.117440840585726,0.309937119131236,1.75151534495613,0.197785433964355,2008-09-19,2015-08-24,0.544851794071763,0.378918281601497
6,0.107706952155335,0.31632638708567,1.57389843268398,0.201685127880816,2008-09-19,2015-06-26,0.544266770670827,0.34049310001497
7,0.0868450629498644,0.323417433360308,1.24122380298301,0.198955328092576,2015-07-10,2015-08-24,0.544656786271451,0.268523134475294
8,0.0636782142013841,0.33211047437903,0.886291715766176,0.199922722707624,2008-09-19,2015-08-24,0.540171606864275,0.19173804837215
9,0.00653145680248547,0.342228221023645,0.0882191007511177,0.199096742711417,2008-09-19,2015-06-26,0.538611544461779,0.0190850911796494
10,-0.119505680763843,0.360605100754119,-1.53188114970636,0.199759031856927,2008-09-19,2015-08-24,0.528861154446178,-0.331403190121066
10086,0.217883029144033,0.180547846425275,5.57826933385818,0.158906769913584,2007-05-31,2015-09-07,0.510920436817473,1.20678830270186
