,代码,名称,日期,价格
0,SHIBOR1M.IR,SHIBOR1月,2006-10-08,2.5319
1,SHIBOR1M.IR,SHIBOR1月,2006-10-09,2.5522
2,SHIBOR1M.IR,SHIBOR1月,2006-10-10,2.5739
3,SHIBOR1M.IR,SHIBOR1月,2006-10-11,2.5864
4,SHIBOR1M.IR,SHIBOR1月,2006-10-12,2.59
5,SHIBOR1M.IR,SHIBOR1月,2006-10-13,2.6045
6,SHIBOR1M.IR,SHIBOR1月,2006-10-16,2.6105
7,SHIBOR1M.IR,SHIBOR1月,2006-10-17,2.6132
8,SHIBOR1M.IR,SHIBOR1月,2006-10-18,2.6159
9,SHIBOR1M.IR,SHIBOR1月,2006-10-19,2.6163
10,SHIBOR1M.IR,SHIBOR1月,2006-10-20,2.6167
11,SHIBOR1M.IR,SHIBOR1月,2006-10-23,2.6166
12,SHIBOR1M.IR,SHIBOR1月,2006-10-24,2.6165
13,SHIBOR1M.IR,SHIBOR1月,2006-10-25,2.6163
14,SHIBOR1M.IR,SHIBOR1月,2006-10-26,2.6164
15,SHIBOR1M.IR,SHIBOR1月,2006-10-27,2.6168
16,SHIBOR1M.IR,SHIBOR1月,2006-10-30,2.6167
17,SHIBOR1M.IR,SHIBOR1月,2006-10-31,2.6167
18,SHIBOR1M.IR,SHIBOR1月,2006-11-01,2.6169
19,SHIBOR1M.IR,SHIBOR1月,2006-11-02,2.6169
20,SHIBOR1M.IR,SHIBOR1月,2006-11-03,2.6175
21,SHIBOR1M.IR,SHIBOR1月,2006-11-06,2.6383
22,SHIBOR1M.IR,SHIBOR1月,2006-11-07,2.7035
23,SHIBOR1M.IR,SHIBOR1月,2006-11-08,2.7755
24,SHIBOR1M.IR,SHIBOR1月,2006-11-09,2.9507
25,SHIBOR1M.IR,SHIBOR1月,2006-11-10,3.0836
26,SHIBOR1M.IR,SHIBOR1月,2006-11-13,3.1794
27,SHIBOR1M.IR,SHIBOR1月,2006-11-14,3.2335
28,SHIBOR1M.IR,SHIBOR1月,2006-11-15,3.2342
29,SHIBOR1M.IR,SHIBOR1月,2006-11-16,3.2601
30,SHIBOR1M.IR,SHIBOR1月,2006-11-17,3.2583
31,SHIBOR1M.IR,SHIBOR1月,2006-11-20,3.3086
32,SHIBOR1M.IR,SHIBOR1月,2006-11-21,3.3874
33,SHIBOR1M.IR,SHIBOR1月,2006-11-22,3.4155
34,SHIBOR1M.IR,SHIBOR1月,2006-11-23,3.3651
35,SHIBOR1M.IR,SHIBOR1月,2006-11-24,3.3139999999999996
36,SHIBOR1M.IR,SHIBOR1月,2006-11-27,3.2448
37,SHIBOR1M.IR,SHIBOR1月,2006-11-28,3.1356
38,SHIBOR1M.IR,SHIBOR1月,2006-11-29,3.1259
39,SHIBOR1M.IR,SHIBOR1月,2006-11-30,3.0847
40,SHIBOR1M.IR,SHIBOR1月,2006-12-01,3.016
41,SHIBOR1M.IR,SHIBOR1月,2006-12-04,2.838
42,SHIBOR1M.IR,SHIBOR1月,2006-12-05,2.7539999999999996
43,SHIBOR1M.IR,SHIBOR1月,2006-12-06,2.7291
44,SHIBOR1M.IR,SHIBOR1月,2006-12-07,2.7141
45,SHIBOR1M.IR,SHIBOR1月,2006-12-08,2.6656
46,SHIBOR1M.IR,SHIBOR1月,2006-12-11,2.627
47,SHIBOR1M.IR,SHIBOR1月,2006-12-12,2.59
48,SHIBOR1M.IR,SHIBOR1月,2006-12-13,2.5809
49,SHIBOR1M.IR,SHIBOR1月,2006-12-14,2.5723
50,SHIBOR1M.IR,SHIBOR1月,2006-12-15,2.5767
51,SHIBOR1M.IR,SHIBOR1月,2006-12-18,2.5717
52,SHIBOR1M.IR,SHIBOR1月,2006-12-19,2.5699
53,SHIBOR1M.IR,SHIBOR1月,2006-12-20,2.5696
54,SHIBOR1M.IR,SHIBOR1月,2006-12-21,2.5703
55,SHIBOR1M.IR,SHIBOR1月,2006-12-22,2.573
56,SHIBOR1M.IR,SHIBOR1月,2006-12-25,2.5712
57,SHIBOR1M.IR,SHIBOR1月,2006-12-26,2.5672
58,SHIBOR1M.IR,SHIBOR1月,2006-12-27,2.5802
59,SHIBOR1M.IR,SHIBOR1月,2006-12-28,2.5832
60,SHIBOR1M.IR,SHIBOR1月,2006-12-29,2.5852
61,SHIBOR1M.IR,SHIBOR1月,2006-12-30,2.5848
62,SHIBOR1M.IR,SHIBOR1月,2006-12-31,2.5833
63,SHIBOR1M.IR,SHIBOR1月,2007-01-04,2.5774
64,SHIBOR1M.IR,SHIBOR1月,2007-01-05,2.5717
65,SHIBOR1M.IR,SHIBOR1月,2007-01-08,2.5588
66,SHIBOR1M.IR,SHIBOR1月,2007-01-09,2.5572
67,SHIBOR1M.IR,SHIBOR1月,2007-01-10,2.5463
68,SHIBOR1M.IR,SHIBOR1月,2007-01-11,2.5343
69,SHIBOR1M.IR,SHIBOR1月,2007-01-12,2.5254
70,SHIBOR1M.IR,SHIBOR1月,2007-01-15,2.5207
71,SHIBOR1M.IR,SHIBOR1月,2007-01-16,2.5168
72,SHIBOR1M.IR,SHIBOR1月,2007-01-17,2.5167
73,SHIBOR1M.IR,SHIBOR1月,2007-01-18,2.5171
74,SHIBOR1M.IR,SHIBOR1月,2007-01-19,2.5173
75,SHIBOR1M.IR,SHIBOR1月,2007-01-22,2.5180000000000002
76,SHIBOR1M.IR,SHIBOR1月,2007-01-23,2.5180000000000002
77,SHIBOR1M.IR,SHIBOR1月,2007-01-24,2.5184
