日期,交易代码,行权价,期权简称,收盘价,结算价,code
2015-12-31,510050C1603M02650,2.65,50ETF购2016年3月2.65,0.0499,0.0499,1603
2015-12-31,510050C1603M02700,2.7,50ETF购2016年3月2.70,0.0409,0.0409,1603
2015-12-31,510050C1603M02750,2.75,50ETF购2016年3月2.75,0.033,0.033,1603
2015-12-31,510050C1603M02800,2.8,50ETF购2016年3月2.80,0.028,0.0269,1603
2015-12-31,510050C1603M02850,2.85,50ETF购2016年3月2.85,0.0216,0.0216,1603
2015-12-31,510050P1603M02650,2.65,50ETF沽2016年3月2.65,0.3052,0.3105,1603
2015-12-31,510050P1603M02700,2.7,50ETF沽2016年3月2.70,0.3452,0.3505,1603
2015-12-31,510050P1603M02750,2.75,50ETF沽2016年3月2.75,0.3871,0.3933,1603
2015-12-31,510050P1603M02800,2.8,50ETF沽2016年3月2.80,0.4302,0.4356,1603
2015-12-31,510050P1603M02850,2.85,50ETF沽2016年3月2.85,0.4669,0.481,1603
2015-12-31,510050C1603M02900,2.9,50ETF购2016年3月2.90,0.0177,0.0177,1603
2015-12-31,510050P1603M02900,2.9,50ETF沽2016年3月2.90,0.529,0.529,1603
2015-12-31,510050C1603M02400,2.4,50ETF购2016年3月2.40,0.1273,0.1273,1603
2015-12-31,510050C1603M02450,2.45,50ETF购2016年3月2.45,0.1102,0.1071,1603
2015-12-31,510050C1603M02500,2.5,50ETF购2016年3月2.50,0.09,0.09,1603
2015-12-31,510050C1603M02550,2.55,50ETF购2016年3月2.55,0.0738,0.0737,1603
2015-12-31,510050C1603M02600,2.6,50ETF购2016年3月2.60,0.0627,0.0617,1603
2015-12-31,510050P1603M02400,2.4,50ETF沽2016年3月2.40,0.1372,0.1385,1603
2015-12-31,510050P1603M02450,2.45,50ETF沽2016年3月2.45,0.1701,0.1687,1603
2015-12-31,510050P1603M02500,2.5,50ETF沽2016年3月2.50,0.2003,0.2003,1603
2015-12-31,510050P1603M02550,2.55,50ETF沽2016年3月2.55,0.2311,0.2311,1603
2015-12-31,510050P1603M02600,2.6,50ETF沽2016年3月2.60,0.2658,0.2709,1603
2015-12-31,510050C1603M02350,2.35,50ETF购2016年3月2.35,0.1527,0.1527,1603
2015-12-31,510050P1603M02350,2.35,50ETF沽2016年3月2.35,0.1127,0.1147,1603
2015-12-31,510050C1603M02300,2.3,50ETF购2016年3月2.30,0.1843,0.1826,1603
2015-12-31,510050P1603M02300,2.3,50ETF沽2016年3月2.30,0.0871,0.0909,1603
2015-12-31,510050C1603M02250,2.25,50ETF购2016年3月2.25,0.2096,0.2093,1603
2015-12-31,510050P1603M02250,2.25,50ETF沽2016年3月2.25,0.0712,0.0722,1603
2015-12-31,510050C1603M02150,2.15,50ETF购2016年3月2.15,0.2773,0.2773,1603
2015-12-31,510050C1603M02200,2.2,50ETF购2016年3月2.20,0.2497,0.2468,1603
2015-12-31,510050P1603M02150,2.15,50ETF沽2016年3月2.15,0.0406,0.0432,1603
2015-12-31,510050P1603M02200,2.2,50ETF沽2016年3月2.20,0.0553,0.056,1603
2015-12-31,510050C1603M01950,1.95,50ETF购2016年3月1.95,0.4575,0.4921,1603
2015-12-31,510050C1603M02000,2,50ETF购2016年3月2.00,0.4106,0.4479,1603
2015-12-31,510050C1603M02050,2.05,50ETF购2016年3月2.05,0.3752,0.405,1603
2015-12-31,510050C1603M02100,2.1,50ETF购2016年3月2.10,0.3264,0.3247,1603
2015-12-31,510050P1603M01950,1.95,50ETF沽2016年3月1.95,0.013,0.013,1603
2015-12-31,510050P1603M02000,2,50ETF沽2016年3月2.00,0.0185,0.0185,1603
2015-12-31,510050P1603M02050,2.05,50ETF沽2016年3月2.05,0.0252,0.0252,1603
2015-12-31,510050P1603M02100,2.1,50ETF沽2016年3月2.10,0.0324,0.0329,1603
2015-12-31,510050C1603M01800,1.8,50ETF购2016年3月1.80,0.5956,0.6338,1603
2015-12-31,510050C1603M01850,1.85,50ETF购2016年3月1.85,0.5431,0.5866,1603
2015-12-31,510050C1603M01900,1.9,50ETF购2016年3月1.90,0.4911,0.5387,1603
2015-12-31,510050P1603M01800,1.8,50ETF沽2016年3月1.80,0.0057,0.0058,1603
2015-12-31,510050P1603M01850,1.85,50ETF沽2016年3月1.85,0.0082,0.0081,1603
2015-12-31,510050P1603M01900,1.9,50ETF沽2016年3月1.90,0.01,0.01,1603
2015-12-31,510050C1606M02200,2.2,50ETF购2016年6月2.20,0.2799,0.2839,1606
2015-12-31,510050C1606M02250,2.25,50ETF购2016年6月2.25,0.2576,0.2575,1606
2015-12-31,510050C1606M02300,2.3,50ETF购2016年6月2.30,0.2395,0.239,1606
2015-12-31,510050C1606M02350,2.35,50ETF购2016年6月2.35,0.2087,0.2087,1606
2015-12-31,510050C1606M02400,2.4,50ETF购2016年6月2.40,0.19,0.19,1606
2015-12-31,510050P1606M02200,2.2,50ETF沽2016年6月2.20,0.1238,0.1238,1606
2015-12-31,510050P1606M02250,2.25,50ETF沽2016年6月2.25,0.1466,0.1468,1606
2015-12-31,510050P1606M02300,2.3,50ETF沽2016年6月2.30,0.169,0.169,1606
2015-12-31,510050P1606M02350,2.35,50ETF沽2016年6月2.35,0.1852,0.1852,1606
2015-12-31,510050P1606M02400,2.4,50ETF沽2016年6月2.40,0.22,0.22,1606
2015-12-31,510050C1606M02150,2.15,50ETF购2016年6月2.15,0.3104,0.3104,1606
2015-12-31,510050P1606M02150,2.15,50ETF沽2016年6月2.15,0.0998,0.0998,1606
2015-12-31,510050C1606M02450,2.45,50ETF购2016年6月2.45,0.1709,0.1738,1606
2015-12-31,510050C1606M02500,2.5,50ETF购2016年6月2.50,0.1539,0.1536,1606
2015-12-31,510050P1606M02450,2.45,50ETF沽2016年6月2.45,0.2488,0.2488,1606
2015-12-31,510050P1606M02500,2.5,50ETF沽2016年6月2.50,0.2802,0.2802,1606
2015-12-31,510050C1606M02550,2.55,50ETF购2016年6月2.55,0.143,0.1405,1606
2015-12-31,510050P1606M02550,2.55,50ETF沽2016年6月2.55,0.3,0.3,1606
2015-12-31,510050C1606M02600,2.6,50ETF购2016年6月2.60,0.1269,0.1241,1606
2015-12-31,510050P1606M02600,2.6,50ETF沽2016年6月2.60,0.341,0.341,1606
2015-12-31,510050C1606M02650,2.65,50ETF购2016年6月2.65,0.1112,0.1112,1606
2015-12-31,510050P1606M02650,2.65,50ETF沽2016年6月2.65,0.3947,0.3974,1606
2015-12-31,510050C1601M02350,2.35,50ETF购2016年1月2.35,0.1026,0.1026,1601
2015-12-31,510050C1601M02400,2.4,50ETF购2016年1月2.40,0.0721,0.0721,1601
2015-12-31,510050C1601M02450,2.45,50ETF购2016年1月2.45,0.0525,0.0525,1601
2015-12-31,510050C1601M02500,2.5,50ETF购2016年1月2.50,0.0376,0.0376,1601
2015-12-31,510050C1601M02550,2.55,50ETF购2016年1月2.55,0.0262,0.0262,1601
2015-12-31,510050P1601M02350,2.35,50ETF沽2016年1月2.35,0.0386,0.0386,1601
2015-12-31,510050P1601M02400,2.4,50ETF沽2016年1月2.40,0.0611,0.0611,1601
2015-12-31,510050P1601M02450,2.45,50ETF沽2016年1月2.45,0.0896,0.0896,1601
2015-12-31,510050P1601M02500,2.5,50ETF沽2016年1月2.50,0.1255,0.1255,1601
2015-12-31,510050P1601M02550,2.55,50ETF沽2016年1月2.55,0.1647,0.1647,1601
2015-12-31,510050C1601M02200,2.2,50ETF购2016年1月2.20,0.2233,0.2213,1601
2015-12-31,510050C1601M02250,2.25,50ETF购2016年1月2.25,0.1769,0.1769,1601
2015-12-31,510050C1601M02300,2.3,50ETF购2016年1月2.30,0.1363,0.1363,1601
2015-12-31,510050P1601M02200,2.2,50ETF沽2016年1月2.20,0.0085,0.0085,1601
2015-12-31,510050P1601M02250,2.25,50ETF沽2016年1月2.25,0.0144,0.0144,1601
2015-12-31,510050P1601M02300,2.3,50ETF沽2016年1月2.30,0.0245,0.0245,1601
2015-12-31,510050C1601M02600,2.6,50ETF购2016年1月2.60,0.0167,0.0167,1601
2015-12-31,510050P1601M02600,2.6,50ETF沽2016年1月2.60,0.2069,0.2069,1601
2015-12-31,510050C1602M02400,2.4,50ETF购2016年2月2.40,0.1018,0.099,1602
2015-12-31,510050C1602M02450,2.45,50ETF购2016年2月2.45,0.0785,0.0785,1602
2015-12-31,510050C1602M02500,2.5,50ETF购2016年2月2.50,0.0631,0.0618,1602
2015-12-31,510050C1602M02550,2.55,50ETF购2016年2月2.55,0.0489,0.0476,1602
2015-12-31,510050C1602M02600,2.6,50ETF购2016年2月2.60,0.0379,0.0379,1602
2015-12-31,510050P1602M02400,2.4,50ETF沽2016年2月2.40,0.0984,0.0984,1602
2015-12-31,510050P1602M02450,2.45,50ETF沽2016年2月2.45,0.1293,0.1291,1602
2015-12-31,510050P1602M02500,2.5,50ETF沽2016年2月2.50,0.1602,0.1613,1602
2015-12-31,510050P1602M02550,2.55,50ETF沽2016年2月2.55,0.1956,0.1985,1602
2015-12-31,510050P1602M02600,2.6,50ETF沽2016年2月2.60,0.2346,0.2399,1602
2015-12-31,510050C1602M02300,2.3,50ETF购2016年2月2.30,0.1585,0.1548,1602
2015-12-31,510050C1602M02350,2.35,50ETF购2016年2月2.35,0.1271,0.1241,1602
2015-12-31,510050P1602M02300,2.3,50ETF沽2016年2月2.30,0.0561,0.0561,1602
2015-12-31,510050P1602M02350,2.35,50ETF沽2016年2月2.35,0.0762,0.0765,1602
